Date(timestamp),0h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1399305600,30.1,24,23.5,22.1,22.1,20.5,30.3,27.1,53.4,56.6,66.9,65.9,51.8,56.2,53.1,53.9,58.8,61.2,63.3,81.4,85.6,79.8,70.6,51.3
1399392000,30.8,27.7,27.6,27,30.3,30.8,27.6,33.4,71,48.8,45.9,60.7,57.9,53.2,56,57.4,62.3,70.8,60.6,82.1,86.2,99.7,75.9,50.4
1399478400,34.2,27,26.1,24.7,25.6,30.4,39.6,29.7,65.1,54.4,56.1,53.4,52.9,62.1,58.7,60.5,55.2,73.2,70.3,84.6,86.9,81.7,67,41.6
1399564800,38,26.5,25.2,24.3,28.7,28.5,31.8,34.2,47.1,64.3,52.4,62,55.4,54.8,56.5,54.9,57.8,65.8,66,79.7,81.2,83.3,64.7,60.3
1399651200,35.6,31,26.5,27.3,27.7,31.3,32,27.7,65,65.9,66.7,65.8,82.3,69.4,71.4,70.2,71.5,77.1,77.9,86.4,96.1,98.4,78.5,51.9
1399737600,33.8,28.5,27.7,26.4,25.1,31.6,36.5,44.9,49.1,72,72.9,89.2,79.2,78.8,75.2,80.3,78,85.8,70.5,97.8,83.1,79.7,59.7,40.5
1399824000,35.2,24.6,31.9,25.4,24.9,30.4,27.7,28.7,66.9,64,66.5,66.8,66.4,52.3,59,60.6,53.4,70,70.9,95.4,84.8,81.5,72.6,45.4
1399910400,31.3,27.3,24.7,27,23.9,31.9,29.9,30.5,54.5,75.2,55,59.4,52.5,51.2,53.5,70.7,59.8,67.4,72.8,72.5,88.7,76,70.2,43.5
1399996800,35.5,32.4,27.2,31,26.9,30.7,28.7,28,60.6,78.2,65.3,62.2,61.9,61.4,68.4,75.2,59.5,76.8,79.8,75.9,92.3,90.2,72.6,54.6
1400083200,29.9,30.5,25.4,22.9,26.1,30.6,25.1,56.2,61.9,64.9,48.9,63.4,53.8,49.4,68.4,59.1,63.7,64.6,63.3,86.3,87.7,90.4,70,48.4
1400169600,28.8,28.7,31.3,26.3,26.2,28.5,33.4,29.7,53,69.8,60.9,60.9,56.2,79.4,79.4,80,79.6,86.3,90.6,107.9,104.8,117.6,76.3,48.2
1400256000,35.1,29.6,29.7,33.1,27.2,26.2,37.4,32.5,47.5,73.2,63.1,71.3,75.7,71.2,74.3,77.8,73.7,89.3,82.4,88.9,85.8,90.8,67.2,44.1
1400342400,43.2,36.2,28.2,29.2,34.9,26.6,33.5,27.3,51.9,76.4,64.3,75.7,70.9,72.4,78,79.1,79.6,76.2,74.6,90,96.1,80.7,63.3,43
1400428800,33.1,30.7,24.2,27.2,25.9,26.8,30,34.9,47.7,66.3,48.8,65,50,53.1,51.3,54.9,56.2,61.8,69.8,83.4,83.6,83.3,69.4,48.2
1400515200,34.5,27.2,26,26.3,30.3,29.3,35.7,34,59.7,67.7,54.8,62,52.9,48.9,59.6,66.7,65.4,82.1,72.4,85.6,106.2,83.7,74.2,47.3
1400601600,33.2,24.4,23.7,23.2,25.1,29.4,23.2,30.7,47,57,52.3,61.3,62.9,61.8,71.8,54.8,67.3,79.3,71.4,92.7,108.1,96.6,80.9,52.8
1400688000,35.2,35.1,27.3,27.1,25,30.9,23,31.7,46.7,66,53.9,57.6,57.3,58.2,48.6,57.8,55.1,62.2,62.2,85.6,85.8,92.1,71.4,48
1400774400,35.5,30.2,27,32.8,33.2,30.4,29.5,26.2,69.8,70.6,56.2,68.7,64.5,58.7,65.5,72,64.2,77.7,80.8,83.1,95.9,95.8,75.3,58.3
1400860800,42.4,38.4,27.2,29.9,26.1,28.3,30.9,32.2,45.5,59,72.9,89.5,93.7,84.5,90.5,97.6,95.8,84,88.8,109.6,126.8,120.3,96.8,85.3
1400947200,50.6,54.3,41.5,41.3,39,43.9,43.8,36.7,65.1,82,78.4,100.2,103.4,92.7,88,111.7,101.4,107.7,91.9,104,114.2,99.5,86,64.5
1401033600,49.1,39.9,40.6,37.5,38.3,41.4,35.8,35.4,51.6,63.7,68,85.1,82.2,82.8,77,72.7,77.9,80.8,88.8,110.4,114,102.6,104.2,55
1401120000,31.9,34.9,28.9,29.5,24.5,36.4,30.7,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8
1401811200,35.4,33.9,29.7,31,31.9,29,37.9,27.5,51.1,66.1,59.8,62,63,66.5,62.6,67.6,60.3,69.3,77.7,90.6,95.9,103.4,73.7,54.9
1401897600,32.9,28.7,27.3,25.7,26.4,36.1,29,41.8,47.4,67.8,57,73.7,70.5,65.7,74.8,87.6,76.9,82.5,69.1,96.6,118.7,117.6,93.8,65.6
1401984000,48.8,42.4,34.3,42,37.5,41.5,37.4,30.8,47.8,78.7,64.5,66.5,74.7,86.8,81,95.5,81.3,82.6,77.1,106.8,123.8,113.7,89.4,75.7
1402070400,50.3,45.5,37,33.9,34,41.1,36.3,53.5,52.6,78.7,70.9,104.7,98.4,110.3,112.9,108.5,104,97.4,91.7,105.3,149.2,132.2,102.4,83
1402156800,59.7,51.7,51.3,46.1,43.5,44.5,43.9,37.7,50.2,76.3,68.3,96.5,100.7,93.3,117.7,114,96.1,102.5,94.1,126.2,138.6,118.6,101.4,78.8
1402243200,52.2,51.4,46.5,42.4,50.6,46.1,45.2,46.1,46.1,46.1,46.1,46.1,46.1,46.1,46.1,46.1,46.1,46.1,46.1,46.1,46.1,46.1,46.1,46.1
